person_1,person_2,mutual_type
example100326@mymail.pomona.edu,example101424@mymail.pomona.edu,friend
example101146@scrippscollege.edu,example101964@mymail.pomona.edu,like
example100069@students.claremontmckenna.edu,example101945@scrippscollege.edu,friend
example100025@scrippscollege.edu,example100520@students.pitzer.edu,like
example100285@mymail.pomona.edu,example101919@students.claremontmckenna.edu,like
example100084@students.claremontmckenna.edu,example101548@scrippscollege.edu,friend
example100368@mymail.pomona.edu,example101443@scrippscollege.edu,friend
example101518@hmc.edu,example101998@students.pitzer.edu,friend
example100641@scrippscollege.edu,example101980@mymail.pomona.edu,like
example100423@students.claremontmckenna.edu,example100884@mymail.pomona.edu,friend
example100865@students.pitzer.edu,example101346@students.pitzer.edu,like
example101090@scrippscollege.edu,example101100@students.pitzer.edu,like
example100106@scrippscollege.edu,example101831@students.pitzer.edu,friend
example100627@students.claremontmckenna.edu,example101340@hmc.edu,like
example100149@hmc.edu,example101888@students.pitzer.edu,like
example100992@hmc.edu,example101640@hmc.edu,friend
example100725@hmc.edu,example101471@mymail.pomona.edu,friend
example100057@hmc.edu,example101031@students.pitzer.edu,like
example100677@hmc.edu,example101224@hmc.edu,friend
example100483@scrippscollege.edu,example100739@students.pitzer.edu,friend
example101157@hmc.edu,example101231@mymail.pomona.edu,like
example100907@hmc.edu,example101337@students.claremontmckenna.edu,like
example100241@hmc.edu,example101009@mymail.pomona.edu,like
example101042@students.claremontmckenna.edu,example101991@hmc.edu,like
example101229@students.pitzer.edu,example101816@scrippscollege.edu,like
example100485@scrippscollege.edu,example100539@scrippscollege.edu,friend
example100149@hmc.edu,example101244@mymail.pomona.edu,like
example100324@hmc.edu,example101606@students.pitzer.edu,friend
example101330@mymail.pomona.edu,example101542@hmc.edu,like
example100136@students.pitzer.edu,example100331@students.pitzer.edu,friend
example100113@hmc.edu,example100659@scrippscollege.edu,like
example100451@scrippscollege.edu,example100542@scrippscollege.edu,friend
example100248@students.claremontmckenna.edu,example101875@mymail.pomona.edu,friend
example100169@scrippscollege.edu,example101266@students.pitzer.edu,friend
example100572@scrippscollege.edu,example101692@scrippscollege.edu,friend
example100184@mymail.pomona.edu,example101602@scrippscollege.edu,like
example101019@scrippscollege.edu,example101556@scrippscollege.edu,like
example100457@hmc.edu,example101208@hmc.edu,like
example101476@mymail.pomona.edu,example101569@scrippscollege.edu,friend
example100695@students.claremontmckenna.edu,example101915@scrippscollege.edu,like
example100228@students.claremontmckenna.edu,example100845@mymail.pomona.edu,like
example100200@students.pitzer.edu,example101678@hmc.edu,friend
example100288@students.claremontmckenna.edu,example100933@students.claremontmckenna.edu,like
example100037@scrippscollege.edu,example100653@students.pitzer.edu,friend
example100165@students.claremontmckenna.edu,example100697@students.pitzer.edu,like
example100230@mymail.pomona.edu,example101110@hmc.edu,like
example100614@students.claremontmckenna.edu,example100709@students.claremontmckenna.edu,like
example100054@hmc.edu,example101337@students.claremontmckenna.edu,like
example101348@scrippscollege.edu,example101617@students.pitzer.edu,friend
example100818@students.pitzer.edu,example100837@students.pitzer.edu,like
example100485@scrippscollege.edu,example100807@scrippscollege.edu,like
example100112@hmc.edu,example101453@hmc.edu,like
example101600@hmc.edu,example101863@students.claremontmckenna.edu,like
example100359@hmc.edu,example101109@mymail.pomona.edu,friend
example100061@mymail.pomona.edu,example101355@mymail.pomona.edu,like
example100204@hmc.edu,example100585@students.pitzer.edu,like
example100026@students.pitzer.edu,example100118@scrippscollege.edu,like
example100632@mymail.pomona.edu,example101598@students.claremontmckenna.edu,like
example100068@students.pitzer.edu,example100572@scrippscollege.edu,friend
example100423@students.claremontmckenna.edu,example101790@scrippscollege.edu,friend
example100305@mymail.pomona.edu,example100624@scrippscollege.edu,like
example100850@scrippscollege.edu,example101180@students.pitzer.edu,like
example100636@hmc.edu,example101688@mymail.pomona.edu,like
example100947@mymail.pomona.edu,example101356@mymail.pomona.edu,friend
example100082@mymail.pomona.edu,example100786@students.pitzer.edu,like
example100136@students.pitzer.edu,example100381@scrippscollege.edu,like
example100700@students.pitzer.edu,example101181@students.claremontmckenna.edu,like
example101307@students.claremontmckenna.edu,example101466@students.pitzer.edu,like
example100165@students.claremontmckenna.edu,example100314@mymail.pomona.edu,friend
example100876@scrippscollege.edu,example101485@scrippscollege.edu,friend
example100024@mymail.pomona.edu,example101614@mymail.pomona.edu,like
example100937@hmc.edu,example101773@students.claremontmckenna.edu,friend
example100093@hmc.edu,example101946@students.claremontmckenna.edu,like
example100544@students.pitzer.edu,example101946@students.claremontmckenna.edu,like
example101300@mymail.pomona.edu,example101607@hmc.edu,friend
example101217@students.claremontmckenna.edu,example101347@students.pitzer.edu,like
example101078@students.pitzer.edu,example101309@scrippscollege.edu,friend
example101114@scrippscollege.edu,example101428@students.pitzer.edu,like
example100020@mymail.pomona.edu,example100881@scrippscollege.edu,like
example100286@students.pitzer.edu,example101307@students.claremontmckenna.edu,friend
example100292@hmc.edu,example101183@mymail.pomona.edu,friend
example100018@students.pitzer.edu,example101361@hmc.edu,friend
example101318@mymail.pomona.edu,example101583@hmc.edu,friend
example100483@scrippscollege.edu,example100626@scrippscollege.edu,friend
example100427@scrippscollege.edu,example100670@mymail.pomona.edu,friend
example100225@mymail.pomona.edu,example100350@students.claremontmckenna.edu,like
example101057@scrippscollege.edu,example101746@mymail.pomona.edu,like
example100745@scrippscollege.edu,example101475@students.pitzer.edu,like
example100598@students.claremontmckenna.edu,example101334@students.pitzer.edu,friend
example101636@students.pitzer.edu,example101998@students.pitzer.edu,friend
example100116@hmc.edu,example100834@mymail.pomona.edu,friend
example100903@mymail.pomona.edu,example101345@hmc.edu,like
example100938@hmc.edu,example101384@students.pitzer.edu,friend
example100229@scrippscollege.edu,example101823@hmc.edu,like
example100299@students.claremontmckenna.edu,example100689@scrippscollege.edu,friend
example100087@mymail.pomona.edu,example100173@students.pitzer.edu,like
example100479@mymail.pomona.edu,example101913@hmc.edu,like
example100494@students.claremontmckenna.edu,example100606@scrippscollege.edu,like
example101204@students.pitzer.edu,example101410@scrippscollege.edu,like
example100272@hmc.edu,example101338@students.pitzer.edu,like
example100747@hmc.edu,example101201@students.claremontmckenna.edu,friend
example100470@scrippscollege.edu,example101889@mymail.pomona.edu,friend
example100801@hmc.edu,example101268@students.claremontmckenna.edu,friend
example100790@scrippscollege.edu,example101820@scrippscollege.edu,friend
example100085@hmc.edu,example100912@hmc.edu,like
example100752@mymail.pomona.edu,example101359@students.claremontmckenna.edu,friend
example101172@scrippscollege.edu,example101867@students.claremontmckenna.edu,like
example100016@mymail.pomona.edu,example100729@scrippscollege.edu,like
example100757@students.claremontmckenna.edu,example101738@hmc.edu,like
example100701@students.claremontmckenna.edu,example101780@mymail.pomona.edu,friend
example100600@mymail.pomona.edu,example100969@scrippscollege.edu,friend
example100401@scrippscollege.edu,example100534@students.pitzer.edu,like
example100352@students.claremontmckenna.edu,example101454@hmc.edu,friend
example100613@scrippscollege.edu,example101334@students.pitzer.edu,friend
example101312@mymail.pomona.edu,example101560@mymail.pomona.edu,like
example100427@scrippscollege.edu,example100823@mymail.pomona.edu,like
example100506@scrippscollege.edu,example100908@students.claremontmckenna.edu,friend
example101356@mymail.pomona.edu,example101946@students.claremontmckenna.edu,friend
example100221@students.claremontmckenna.edu,example101833@students.pitzer.edu,friend
example101280@mymail.pomona.edu,example101696@students.claremontmckenna.edu,friend
example100233@students.claremontmckenna.edu,example100841@students.claremontmckenna.edu,friend
example100069@students.claremontmckenna.edu,example101625@mymail.pomona.edu,friend
example100715@scrippscollege.edu,example101136@students.pitzer.edu,like
example100797@students.pitzer.edu,example101302@students.claremontmckenna.edu,like
example100227@scrippscollege.edu,example101561@scrippscollege.edu,friend
example100438@scrippscollege.edu,example101260@mymail.pomona.edu,like
example101093@students.pitzer.edu,example101722@scrippscollege.edu,like
example101471@mymail.pomona.edu,example101888@students.pitzer.edu,friend
example100025@scrippscollege.edu,example101402@students.pitzer.edu,friend
example100046@hmc.edu,example101234@students.claremontmckenna.edu,like
example100805@hmc.edu,example100846@scrippscollege.edu,friend
example100502@students.claremontmckenna.edu,example101770@scrippscollege.edu,friend
example100672@students.claremontmckenna.edu,example101392@mymail.pomona.edu,like
example100470@scrippscollege.edu,example101398@scrippscollege.edu,like
example100581@mymail.pomona.edu,example100600@mymail.pomona.edu,like
example100154@hmc.edu,example101707@mymail.pomona.edu,like
example100993@students.pitzer.edu,example101339@hmc.edu,like
example100346@hmc.edu,example101167@scrippscollege.edu,friend
example100166@scrippscollege.edu,example101704@mymail.pomona.edu,like
example101256@scrippscollege.edu,example101528@students.pitzer.edu,like
example100062@hmc.edu,example101901@students.claremontmckenna.edu,like
example100488@students.pitzer.edu,example101960@mymail.pomona.edu,friend
example100585@students.pitzer.edu,example100962@students.claremontmckenna.edu,friend
example101872@scrippscollege.edu,example101936@students.claremontmckenna.edu,friend
example100176@scrippscollege.edu,example100964@students.pitzer.edu,friend
example101537@scrippscollege.edu,example101756@students.pitzer.edu,like
example100471@mymail.pomona.edu,example101393@students.claremontmckenna.edu,friend
example100151@scrippscollege.edu,example101816@scrippscollege.edu,like
example100950@scrippscollege.edu,example101326@scrippscollege.edu,friend
example100682@scrippscollege.edu,example101379@mymail.pomona.edu,like
example100538@mymail.pomona.edu,example101217@students.claremontmckenna.edu,like
example101267@students.claremontmckenna.edu,example101411@hmc.edu,friend
example100291@scrippscollege.edu,example101723@mymail.pomona.edu,friend
example100618@scrippscollege.edu,example101025@mymail.pomona.edu,like
example100550@hmc.edu,example101416@scrippscollege.edu,friend
example101379@mymail.pomona.edu,example101494@students.claremontmckenna.edu,like
example101007@students.pitzer.edu,example101015@students.pitzer.edu,friend
example101173@mymail.pomona.edu,example101405@students.claremontmckenna.edu,friend
example101416@scrippscollege.edu,example101829@mymail.pomona.edu,friend
example100088@mymail.pomona.edu,example100812@students.claremontmckenna.edu,like
example100075@scrippscollege.edu,example101481@students.pitzer.edu,friend
example101100@students.pitzer.edu,example101109@mymail.pomona.edu,like
example100420@hmc.edu,example100620@mymail.pomona.edu,like
example100146@scrippscollege.edu,example101983@scrippscollege.edu,like
example101379@mymail.pomona.edu,example101994@scrippscollege.edu,friend
example101097@students.pitzer.edu,example101588@scrippscollege.edu,friend
example101394@students.pitzer.edu,example101887@scrippscollege.edu,like
example100246@hmc.edu,example100701@students.claremontmckenna.edu,like
example100232@hmc.edu,example100651@hmc.edu,friend
example100333@students.pitzer.edu,example100339@hmc.edu,friend
example100956@scrippscollege.edu,example101227@mymail.pomona.edu,like
example100389@students.pitzer.edu,example101928@scrippscollege.edu,friend
example100999@students.claremontmckenna.edu,example101956@students.claremontmckenna.edu,like
example100150@scrippscollege.edu,example100449@scrippscollege.edu,like
example101734@students.claremontmckenna.edu,example101998@students.pitzer.edu,like
example100042@students.claremontmckenna.edu,example101757@students.pitzer.edu,like
example101078@students.pitzer.edu,example101243@mymail.pomona.edu,like
example100271@students.pitzer.edu,example101231@mymail.pomona.edu,friend
example100708@hmc.edu,example101266@students.pitzer.edu,like
example100016@mymail.pomona.edu,example101529@scrippscollege.edu,like
example100490@students.claremontmckenna.edu,example101309@scrippscollege.edu,friend
example100673@students.pitzer.edu,example101902@hmc.edu,friend
example101894@mymail.pomona.edu,example101921@mymail.pomona.edu,friend
example100132@students.claremontmckenna.edu,example100619@students.claremontmckenna.edu,like
example100119@hmc.edu,example101027@students.pitzer.edu,like
example100139@mymail.pomona.edu,example101908@mymail.pomona.edu,like
example100719@students.claremontmckenna.edu,example101074@scrippscollege.edu,friend
example100119@hmc.edu,example101438@hmc.edu,friend
example100473@students.claremontmckenna.edu,example100565@students.pitzer.edu,friend
example100104@mymail.pomona.edu,example101698@students.pitzer.edu,like
example101031@students.pitzer.edu,example101566@students.pitzer.edu,friend
example100337@mymail.pomona.edu,example100846@scrippscollege.edu,friend
example101410@scrippscollege.edu,example101934@scrippscollege.edu,friend
example100508@scrippscollege.edu,example101159@scrippscollege.edu,friend
example101125@students.claremontmckenna.edu,example101279@scrippscollege.edu,like
example101160@hmc.edu,example101362@students.claremontmckenna.edu,like
example101064@mymail.pomona.edu,example101108@students.claremontmckenna.edu,like
example100975@scrippscollege.edu,example101317@scrippscollege.edu,like
example100000@scrippscollege.edu,example100113@hmc.edu,like
example100490@students.claremontmckenna.edu,example101631@hmc.edu,like
example100223@hmc.edu,example100425@hmc.edu,friend
example100476@hmc.edu,example101154@students.claremontmckenna.edu,like
example100074@students.pitzer.edu,example101981@students.pitzer.edu,like
example100425@hmc.edu,example101672@scrippscollege.edu,friend
example101777@students.claremontmckenna.edu,example101912@mymail.pomona.edu,like
example100831@students.pitzer.edu,example101639@students.claremontmckenna.edu,like
example100171@students.claremontmckenna.edu,example101295@scrippscollege.edu,like
example100873@hmc.edu,example101771@mymail.pomona.edu,friend
example100549@students.claremontmckenna.edu,example101466@students.pitzer.edu,like
example101163@students.claremontmckenna.edu,example101995@mymail.pomona.edu,friend
example101190@scrippscollege.edu,example101749@mymail.pomona.edu,friend
example100772@students.pitzer.edu,example101662@students.claremontmckenna.edu,like
example100927@students.pitzer.edu,example101146@scrippscollege.edu,friend
example100327@hmc.edu,example101089@scrippscollege.edu,like
example100142@hmc.edu,example100644@scrippscollege.edu,like
example100939@students.pitzer.edu,example101617@students.pitzer.edu,like
example100857@students.pitzer.edu,example100922@hmc.edu,like
example101969@scrippscollege.edu,example101986@students.claremontmckenna.edu,friend
example101136@students.pitzer.edu,example101535@scrippscollege.edu,friend
example101577@hmc.edu,example101726@students.claremontmckenna.edu,like
example100193@hmc.edu,example101312@mymail.pomona.edu,friend
example100195@mymail.pomona.edu,example101414@scrippscollege.edu,friend
example101689@students.claremontmckenna.edu,example101824@scrippscollege.edu,friend
example101580@scrippscollege.edu,example101868@hmc.edu,friend
example100586@students.pitzer.edu,example101395@students.claremontmckenna.edu,like
example100006@hmc.edu,example101834@mymail.pomona.edu,like
example100174@mymail.pomona.edu,example101981@students.pitzer.edu,like
example100072@hmc.edu,example101099@mymail.pomona.edu,like
example100858@students.pitzer.edu,example101914@hmc.edu,friend
example100752@mymail.pomona.edu,example100813@hmc.edu,like
example100172@hmc.edu,example101432@hmc.edu,like
example100103@hmc.edu,example100315@mymail.pomona.edu,friend
example100266@scrippscollege.edu,example101506@students.pitzer.edu,like
example100136@students.pitzer.edu,example101492@students.claremontmckenna.edu,friend
example100213@students.claremontmckenna.edu,example101458@students.claremontmckenna.edu,friend
example100824@hmc.edu,example101334@students.pitzer.edu,friend
example100536@students.claremontmckenna.edu,example101137@mymail.pomona.edu,friend
example100587@mymail.pomona.edu,example101129@students.claremontmckenna.edu,friend
example100994@students.pitzer.edu,example101917@students.claremontmckenna.edu,friend
example101347@students.pitzer.edu,example101774@students.claremontmckenna.edu,like
example100919@scrippscollege.edu,example101552@students.claremontmckenna.edu,like
example100128@students.pitzer.edu,example101167@scrippscollege.edu,like
example100084@students.claremontmckenna.edu,example101547@mymail.pomona.edu,friend
example100728@scrippscollege.edu,example100852@students.claremontmckenna.edu,friend
example101494@students.claremontmckenna.edu,example101513@mymail.pomona.edu,like
example100271@students.pitzer.edu,example101723@mymail.pomona.edu,friend
example101468@scrippscollege.edu,example101855@students.claremontmckenna.edu,friend
example100143@scrippscollege.edu,example100160@students.claremontmckenna.edu,like
example101479@mymail.pomona.edu,example101523@scrippscollege.edu,like
example100835@students.pitzer.edu,example100994@students.pitzer.edu,like
example101387@mymail.pomona.edu,example101404@students.pitzer.edu,like
example100228@students.claremontmckenna.edu,example101432@hmc.edu,friend
example101110@hmc.edu,example101115@scrippscollege.edu,like
example101353@mymail.pomona.edu,example101722@scrippscollege.edu,like
example100856@students.pitzer.edu,example101416@scrippscollege.edu,like
example100693@scrippscollege.edu,example101043@mymail.pomona.edu,friend
example101139@scrippscollege.edu,example101823@hmc.edu,friend
example100434@students.pitzer.edu,example101326@scrippscollege.edu,friend
example100031@hmc.edu,example101532@hmc.edu,like
example101722@scrippscollege.edu,example101787@students.claremontmckenna.edu,friend
example101591@hmc.edu,example101740@students.pitzer.edu,like
example100164@scrippscollege.edu,example101533@mymail.pomona.edu,friend
example101100@students.pitzer.edu,example101953@scrippscollege.edu,friend
example100895@mymail.pomona.edu,example101292@hmc.edu,like
example100385@scrippscollege.edu,example101557@students.pitzer.edu,friend
example100711@scrippscollege.edu,example100750@hmc.edu,like
example100179@students.claremontmckenna.edu,example100622@scrippscollege.edu,friend
example100741@hmc.edu,example101858@hmc.edu,friend
example100858@students.pitzer.edu,example101523@scrippscollege.edu,like
example100832@hmc.edu,example101055@students.pitzer.edu,friend
example100687@scrippscollege.edu,example101904@hmc.edu,friend
example100418@students.claremontmckenna.edu,example100662@students.claremontmckenna.edu,like
example101025@mymail.pomona.edu,example101524@hmc.edu,friend
example100071@mymail.pomona.edu,example100472@scrippscollege.edu,friend
example100374@students.pitzer.edu,example101961@students.claremontmckenna.edu,friend
example101956@students.claremontmckenna.edu,example101967@mymail.pomona.edu,friend
example100052@students.pitzer.edu,example101358@hmc.edu,like
example100225@mymail.pomona.edu,example100646@scrippscollege.edu,friend
example100275@scrippscollege.edu,example101288@hmc.edu,friend
example100460@scrippscollege.edu,example101915@scrippscollege.edu,friend
example100528@hmc.edu,example100772@students.pitzer.edu,like
example101001@students.pitzer.edu,example101912@mymail.pomona.edu,friend
example101444@students.claremontmckenna.edu,example101466@students.pitzer.edu,like
example100210@students.claremontmckenna.edu,example100211@students.pitzer.edu,friend
example101217@students.claremontmckenna.edu,example101572@students.pitzer.edu,like
example100959@hmc.edu,example101638@scrippscollege.edu,friend
example101369@hmc.edu,example101860@mymail.pomona.edu,friend
example101360@scrippscollege.edu,example101495@mymail.pomona.edu,friend
example100555@students.pitzer.edu,example101742@hmc.edu,friend
example100570@students.claremontmckenna.edu,example100782@scrippscollege.edu,friend
example100755@students.pitzer.edu,example101330@mymail.pomona.edu,friend
example100522@students.pitzer.edu,example100863@hmc.edu,like
example100183@students.pitzer.edu,example100792@students.pitzer.edu,like
example100370@students.claremontmckenna.edu,example101171@mymail.pomona.edu,like
example100534@students.pitzer.edu,example101183@mymail.pomona.edu,like
example100537@scrippscollege.edu,example101970@scrippscollege.edu,like
example100330@students.pitzer.edu,example100943@students.claremontmckenna.edu,like
example100170@mymail.pomona.edu,example101912@mymail.pomona.edu,friend
example100846@scrippscollege.edu,example101440@students.pitzer.edu,friend
example101135@students.claremontmckenna.edu,example101689@students.claremontmckenna.edu,friend
example101544@students.claremontmckenna.edu,example101665@scrippscollege.edu,like
example100955@students.claremontmckenna.edu,example101557@students.pitzer.edu,friend
example101251@mymail.pomona.edu,example101554@mymail.pomona.edu,friend
example100268@scrippscollege.edu,example101295@scrippscollege.edu,like
example100775@students.pitzer.edu,example101127@students.claremontmckenna.edu,friend
example100706@mymail.pomona.edu,example101449@students.pitzer.edu,friend
example100022@students.pitzer.edu,example100876@scrippscollege.edu,like
example100095@students.pitzer.edu,example101520@mymail.pomona.edu,like
example101233@students.claremontmckenna.edu,example101344@scrippscollege.edu,friend
example100164@scrippscollege.edu,example101411@hmc.edu,friend
example101023@scrippscollege.edu,example101762@mymail.pomona.edu,friend
example100526@students.claremontmckenna.edu,example100964@students.pitzer.edu,friend
example100251@mymail.pomona.edu,example100660@scrippscollege.edu,friend
example100114@mymail.pomona.edu,example101490@hmc.edu,friend
example100069@students.claremontmckenna.edu,example100898@students.pitzer.edu,friend
example100058@mymail.pomona.edu,example101070@students.claremontmckenna.edu,like
example101574@mymail.pomona.edu,example101585@students.claremontmckenna.edu,friend
example100880@students.claremontmckenna.edu,example101545@hmc.edu,like
example100979@students.claremontmckenna.edu,example101956@students.claremontmckenna.edu,friend
example100469@students.claremontmckenna.edu,example100880@students.claremontmckenna.edu,like
example100821@mymail.pomona.edu,example101724@hmc.edu,friend
example100096@scrippscollege.edu,example100763@students.pitzer.edu,like
example101722@scrippscollege.edu,example101829@mymail.pomona.edu,like
example101104@scrippscollege.edu,example101325@students.claremontmckenna.edu,like
example100086@students.pitzer.edu,example101268@students.claremontmckenna.edu,friend
example100059@students.claremontmckenna.edu,example101013@students.pitzer.edu,like
example100544@students.pitzer.edu,example101614@mymail.pomona.edu,like
example101545@hmc.edu,example101969@scrippscollege.edu,friend
example100342@hmc.edu,example100818@students.pitzer.edu,like
example100459@hmc.edu,example100609@scrippscollege.edu,like
example100173@students.pitzer.edu,example100858@students.pitzer.edu,friend
example100813@hmc.edu,example101119@students.pitzer.edu,like
example100581@mymail.pomona.edu,example100624@scrippscollege.edu,friend
example100809@mymail.pomona.edu,example101547@mymail.pomona.edu,like
example100457@hmc.edu,example101526@students.pitzer.edu,friend
example100032@students.claremontmckenna.edu,example101535@scrippscollege.edu,friend
example100016@mymail.pomona.edu,example100914@scrippscollege.edu,friend
example101326@scrippscollege.edu,example101999@hmc.edu,like
example101072@hmc.edu,example101575@students.pitzer.edu,like
example101163@students.claremontmckenna.edu,example101378@hmc.edu,like
example100414@mymail.pomona.edu,example100479@mymail.pomona.edu,like
example100208@scrippscollege.edu,example100273@students.claremontmckenna.edu,like
example100390@hmc.edu,example100923@scrippscollege.edu,friend
