source_email,relationship_type,target_email
example100011@hmc.edu,like,example100940@scrippscollege.edu
example100011@hmc.edu,friend,example100814@mymail.pomona.edu
example100011@hmc.edu,friend,example100696@students.pitzer.edu
example100011@hmc.edu,friend,example101144@students.claremontmckenna.edu
example100012@hmc.edu,like,example101821@mymail.pomona.edu
example100012@hmc.edu,like,example101588@scrippscollege.edu
example100012@hmc.edu,friend,example101588@scrippscollege.edu
example100012@hmc.edu,friend,example101836@scrippscollege.edu
example100012@hmc.edu,friend,example100737@students.pitzer.edu
example100012@hmc.edu,like,example101970@scrippscollege.edu
example100012@hmc.edu,like,example100084@students.claremontmckenna.edu
example100012@hmc.edu,friend,example101139@scrippscollege.edu
example100012@hmc.edu,like,example101117@mymail.pomona.edu
example100012@hmc.edu,like,example101048@scrippscollege.edu
example100012@hmc.edu,friend,example101048@scrippscollege.edu
example100012@hmc.edu,like,example101576@students.pitzer.edu
example101576@students.pitzer.edu,like,example100012@hmc.edu
example100013@mymail.pomona.edu,like,example100451@scrippscollege.edu
example100013@mymail.pomona.edu,friend,example100451@scrippscollege.edu
example100013@mymail.pomona.edu,friend,example101129@students.claremontmckenna.edu
example100013@mymail.pomona.edu,like,example100478@scrippscollege.edu
example100013@mymail.pomona.edu,friend,example100491@mymail.pomona.edu
example100013@mymail.pomona.edu,like,example101988@students.pitzer.edu
example100013@mymail.pomona.edu,like,example100303@students.claremontmckenna.edu
example100013@mymail.pomona.edu,friend,example100298@scrippscollege.edu
example100013@mymail.pomona.edu,like,example100384@scrippscollege.edu
example100013@mymail.pomona.edu,like,example100130@hmc.edu
example100014@scrippscollege.edu,like,example100750@hmc.edu
example100014@scrippscollege.edu,friend,example100246@hmc.edu
example100014@scrippscollege.edu,friend,example101057@scrippscollege.edu
example100014@scrippscollege.edu,like,example100436@students.claremontmckenna.edu
example100014@scrippscollege.edu,friend,example100436@students.claremontmckenna.edu
example100014@scrippscollege.edu,like,example100034@scrippscollege.edu
example100014@scrippscollege.edu,like,example101643@students.claremontmckenna.edu
example100014@scrippscollege.edu,friend,example101643@students.claremontmckenna.edu
example100014@scrippscollege.edu,friend,example101505@mymail.pomona.edu
example100014@scrippscollege.edu,friend,example101875@mymail.pomona.edu
example100014@scrippscollege.edu,like,example101722@scrippscollege.edu
example100016@mymail.pomona.edu,like,example101283@students.claremontmckenna.edu
example100016@mymail.pomona.edu,like,example101261@mymail.pomona.edu
example100016@mymail.pomona.edu,like,example101124@hmc.edu
example100016@mymail.pomona.edu,like,example101529@scrippscollege.edu
example101529@scrippscollege.edu,like,example100016@mymail.pomona.edu
example100016@mymail.pomona.edu,friend,example100516@students.claremontmckenna.edu
example100016@mymail.pomona.edu,like,example100729@scrippscollege.edu
example100729@scrippscollege.edu,like,example100016@mymail.pomona.edu
example100016@mymail.pomona.edu,friend,example100729@scrippscollege.edu
example100729@scrippscollege.edu,friend,example100016@mymail.pomona.edu
example100016@mymail.pomona.edu,friend,example100743@students.pitzer.edu
example100016@mymail.pomona.edu,like,example100754@scrippscollege.edu
example100016@mymail.pomona.edu,friend,example100778@mymail.pomona.edu
example100016@mymail.pomona.edu,friend,example100026@students.pitzer.edu
example100017@scrippscollege.edu,like,example100312@students.claremontmckenna.edu
example100017@scrippscollege.edu,like,example101794@scrippscollege.edu
example100017@scrippscollege.edu,friend,example100336@hmc.edu
example100017@scrippscollege.edu,like,example101533@mymail.pomona.edu
example100017@scrippscollege.edu,friend,example101533@mymail.pomona.edu
example100019@scrippscollege.edu,like,example101272@students.pitzer.edu
example101272@students.pitzer.edu,like,example100019@scrippscollege.edu
example100019@scrippscollege.edu,like,example100539@scrippscollege.edu
example100019@scrippscollege.edu,like,example101400@mymail.pomona.edu
example100020@mymail.pomona.edu,like,example100719@students.claremontmckenna.edu
example100020@mymail.pomona.edu,friend,example100719@students.claremontmckenna.edu
example100020@mymail.pomona.edu,friend,example100086@students.pitzer.edu
example100020@mymail.pomona.edu,like,example100852@students.claremontmckenna.edu
example100020@mymail.pomona.edu,like,example100928@mymail.pomona.edu
example100020@mymail.pomona.edu,friend,example101715@students.pitzer.edu
example100020@mymail.pomona.edu,like,example100907@hmc.edu
example100020@mymail.pomona.edu,like,example101362@students.claremontmckenna.edu
example100020@mymail.pomona.edu,friend,example101362@students.claremontmckenna.edu
example100020@mymail.pomona.edu,like,example100793@mymail.pomona.edu
example100020@mymail.pomona.edu,friend,example100369@students.claremontmckenna.edu
example100021@mymail.pomona.edu,like,example101158@students.claremontmckenna.edu
example100021@mymail.pomona.edu,friend,example101158@students.claremontmckenna.edu
example100021@mymail.pomona.edu,friend,example100360@students.claremontmckenna.edu
example100021@mymail.pomona.edu,friend,example101354@hmc.edu
example100021@mymail.pomona.edu,friend,example101686@students.pitzer.edu
example101686@students.pitzer.edu,friend,example100021@mymail.pomona.edu
example100021@mymail.pomona.edu,like,example100136@students.pitzer.edu
example100021@mymail.pomona.edu,friend,example101195@scrippscollege.edu
example100021@mymail.pomona.edu,like,example101399@students.claremontmckenna.edu
example100021@mymail.pomona.edu,like,example100067@hmc.edu
example100022@students.pitzer.edu,like,example100075@scrippscollege.edu
example100022@students.pitzer.edu,friend,example100713@mymail.pomona.edu
example100022@students.pitzer.edu,like,example100486@students.pitzer.edu
example100022@students.pitzer.edu,like,example100090@scrippscollege.edu
example100022@students.pitzer.edu,friend,example100090@scrippscollege.edu
example100022@students.pitzer.edu,like,example101361@hmc.edu
example100022@students.pitzer.edu,friend,example100520@students.pitzer.edu
example100022@students.pitzer.edu,like,example100916@mymail.pomona.edu
example100023@students.claremontmckenna.edu,like,example100796@scrippscollege.edu
example100023@students.claremontmckenna.edu,friend,example100796@scrippscollege.edu
example100023@students.claremontmckenna.edu,like,example101353@mymail.pomona.edu
example100023@students.claremontmckenna.edu,like,example101581@mymail.pomona.edu
example101581@mymail.pomona.edu,like,example100023@students.claremontmckenna.edu
example100023@students.claremontmckenna.edu,friend,example101028@students.claremontmckenna.edu
example100023@students.claremontmckenna.edu,like,example100189@mymail.pomona.edu
example100023@students.claremontmckenna.edu,friend,example100189@mymail.pomona.edu
example100023@students.claremontmckenna.edu,like,example100542@scrippscollege.edu
example100023@students.claremontmckenna.edu,friend,example100542@scrippscollege.edu
example100023@students.claremontmckenna.edu,like,example101192@students.claremontmckenna.edu
example101192@students.claremontmckenna.edu,like,example100023@students.claremontmckenna.edu
example100023@students.claremontmckenna.edu,like,example100178@scrippscollege.edu
example100023@students.claremontmckenna.edu,friend,example101002@mymail.pomona.edu
example100024@mymail.pomona.edu,like,example101942@scrippscollege.edu
example100024@mymail.pomona.edu,like,example100417@hmc.edu
example100024@mymail.pomona.edu,friend,example101312@mymail.pomona.edu
example100024@mymail.pomona.edu,friend,example101402@students.pitzer.edu
example100024@mymail.pomona.edu,like,example101988@students.pitzer.edu
example100024@mymail.pomona.edu,like,example100314@mymail.pomona.edu
example100024@mymail.pomona.edu,like,example101730@mymail.pomona.edu
example100024@mymail.pomona.edu,friend,example100131@students.pitzer.edu
example100025@scrippscollege.edu,friend,example101271@students.claremontmckenna.edu
example100025@scrippscollege.edu,friend,example100428@hmc.edu
example100025@scrippscollege.edu,like,example100758@scrippscollege.edu
example100025@scrippscollege.edu,friend,example100451@scrippscollege.edu
example100025@scrippscollege.edu,like,example100431@hmc.edu
example100025@scrippscollege.edu,like,example100128@students.pitzer.edu
example100025@scrippscollege.edu,friend,example101338@students.pitzer.edu
example100025@scrippscollege.edu,like,example101156@mymail.pomona.edu
example100025@scrippscollege.edu,friend,example101156@mymail.pomona.edu
example100025@scrippscollege.edu,friend,example101555@scrippscollege.edu
example100025@scrippscollege.edu,like,example101421@students.claremontmckenna.edu
example100025@scrippscollege.edu,friend,example101421@students.claremontmckenna.edu
example100026@students.pitzer.edu,like,example100644@scrippscollege.edu
example100026@students.pitzer.edu,like,example100118@scrippscollege.edu
example100118@scrippscollege.edu,like,example100026@students.pitzer.edu
example100026@students.pitzer.edu,like,example101843@students.claremontmckenna.edu
example100026@students.pitzer.edu,friend,example100057@hmc.edu
example100026@students.pitzer.edu,like,example100221@students.claremontmckenna.edu
example100026@students.pitzer.edu,friend,example100655@students.claremontmckenna.edu
example100026@students.pitzer.edu,friend,example100821@mymail.pomona.edu
example100027@hmc.edu,like,example100164@scrippscollege.edu
example100027@hmc.edu,like,example100543@students.pitzer.edu
example100027@hmc.edu,like,example100831@students.pitzer.edu
example100027@hmc.edu,friend,example100831@students.pitzer.edu
example100027@hmc.edu,like,example100472@scrippscollege.edu
example100030@hmc.edu,like,example100441@scrippscollege.edu
example100030@hmc.edu,like,example101620@scrippscollege.edu
example100030@hmc.edu,friend,example100501@students.pitzer.edu
example100030@hmc.edu,like,example100727@students.pitzer.edu
example100030@hmc.edu,friend,example100727@students.pitzer.edu
example100727@students.pitzer.edu,friend,example100030@hmc.edu
example100030@hmc.edu,like,example101508@hmc.edu
example100030@hmc.edu,like,example101279@scrippscollege.edu
example100030@hmc.edu,like,example100802@hmc.edu
example100030@hmc.edu,like,example101873@students.pitzer.edu
example100031@hmc.edu,friend,example100667@scrippscollege.edu
example100031@hmc.edu,friend,example100027@hmc.edu
example100031@hmc.edu,friend,example101690@students.pitzer.edu
example100031@hmc.edu,like,example100969@scrippscollege.edu
example100031@hmc.edu,friend,example100969@scrippscollege.edu
example100031@hmc.edu,like,example100053@scrippscollege.edu
example100031@hmc.edu,friend,example100347@mymail.pomona.edu
example100031@hmc.edu,friend,example101598@students.claremontmckenna.edu
example100031@hmc.edu,friend,example100461@scrippscollege.edu
example100032@students.claremontmckenna.edu,like,example101137@mymail.pomona.edu
example100032@students.claremontmckenna.edu,friend,example101535@scrippscollege.edu
example101535@scrippscollege.edu,friend,example100032@students.claremontmckenna.edu
example100032@students.claremontmckenna.edu,like,example100018@students.pitzer.edu
example100032@students.claremontmckenna.edu,like,example101208@hmc.edu
example100032@students.claremontmckenna.edu,like,example101445@students.pitzer.edu
example100032@students.claremontmckenna.edu,friend,example101445@students.pitzer.edu
example100032@students.claremontmckenna.edu,friend,example101772@hmc.edu
example100032@students.claremontmckenna.edu,like,example101159@scrippscollege.edu
example100032@students.claremontmckenna.edu,friend,example101159@scrippscollege.edu
example100032@students.claremontmckenna.edu,like,example100398@scrippscollege.edu
example100032@students.claremontmckenna.edu,friend,example100398@scrippscollege.edu
example100032@students.claremontmckenna.edu,like,example101898@scrippscollege.edu
example100032@students.claremontmckenna.edu,friend,example101898@scrippscollege.edu
example100033@scrippscollege.edu,friend,example100394@scrippscollege.edu
example100033@scrippscollege.edu,like,example100858@students.pitzer.edu
example100033@scrippscollege.edu,friend,example100760@hmc.edu
example100033@scrippscollege.edu,like,example100845@mymail.pomona.edu
example100034@scrippscollege.edu,friend,example101521@students.claremontmckenna.edu
example100034@scrippscollege.edu,friend,example100919@scrippscollege.edu
example100034@scrippscollege.edu,friend,example100432@students.pitzer.edu
example100034@scrippscollege.edu,like,example100950@scrippscollege.edu
example100034@scrippscollege.edu,friend,example100656@scrippscollege.edu
example100656@scrippscollege.edu,friend,example100034@scrippscollege.edu
example100034@scrippscollege.edu,friend,example101329@mymail.pomona.edu
example100034@scrippscollege.edu,friend,example100638@students.claremontmckenna.edu
example100034@scrippscollege.edu,like,example101570@mymail.pomona.edu
example100034@scrippscollege.edu,friend,example101570@mymail.pomona.edu
example100034@scrippscollege.edu,like,example101187@mymail.pomona.edu
example100034@scrippscollege.edu,friend,example101187@mymail.pomona.edu
example100035@mymail.pomona.edu,friend,example100846@scrippscollege.edu
example100035@mymail.pomona.edu,like,example100530@students.pitzer.edu
example100035@mymail.pomona.edu,like,example101080@scrippscollege.edu
example100036@students.pitzer.edu,like,example101776@mymail.pomona.edu
example100036@students.pitzer.edu,like,example101599@students.pitzer.edu
example100036@students.pitzer.edu,friend,example101599@students.pitzer.edu
example100036@students.pitzer.edu,like,example100150@scrippscollege.edu
example100036@students.pitzer.edu,like,example101539@students.claremontmckenna.edu
example101539@students.claremontmckenna.edu,like,example100036@students.pitzer.edu
example100036@students.pitzer.edu,friend,example101539@students.claremontmckenna.edu
example100037@scrippscollege.edu,friend,example100720@students.pitzer.edu
example100037@scrippscollege.edu,friend,example100345@students.pitzer.edu
example100038@mymail.pomona.edu,like,example101826@students.pitzer.edu
example100038@mymail.pomona.edu,friend,example101826@students.pitzer.edu
example100038@mymail.pomona.edu,friend,example101299@mymail.pomona.edu
example100039@students.claremontmckenna.edu,like,example100978@hmc.edu
example100039@students.claremontmckenna.edu,like,example101301@students.claremontmckenna.edu
example100040@hmc.edu,friend,example100395@students.claremontmckenna.edu
example100040@hmc.edu,like,example100772@students.pitzer.edu
example100040@hmc.edu,friend,example100772@students.pitzer.edu
example100040@hmc.edu,friend,example100490@students.claremontmckenna.edu
example100040@hmc.edu,friend,example101747@hmc.edu
example100040@hmc.edu,like,example101310@mymail.pomona.edu
example100040@hmc.edu,friend,example100539@scrippscollege.edu
example100041@students.claremontmckenna.edu,friend,example101261@mymail.pomona.edu
example100041@students.claremontmckenna.edu,like,example100434@students.pitzer.edu
example100041@students.claremontmckenna.edu,like,example101178@students.pitzer.edu
example100041@students.claremontmckenna.edu,friend,example101178@students.pitzer.edu
example100041@students.claremontmckenna.edu,like,example100219@scrippscollege.edu
example100041@students.claremontmckenna.edu,friend,example100918@students.claremontmckenna.edu
example100041@students.claremontmckenna.edu,like,example101341@hmc.edu
example100041@students.claremontmckenna.edu,like,example101868@hmc.edu
example100041@students.claremontmckenna.edu,friend,example101868@hmc.edu
example100042@students.claremontmckenna.edu,like,example100089@students.pitzer.edu
example100042@students.claremontmckenna.edu,like,example101547@mymail.pomona.edu
example100042@students.claremontmckenna.edu,friend,example101547@mymail.pomona.edu
example101547@mymail.pomona.edu,friend,example100042@students.claremontmckenna.edu
example100042@students.claremontmckenna.edu,friend,example101299@mymail.pomona.edu
example100042@students.claremontmckenna.edu,like,example100443@students.claremontmckenna.edu
example100042@students.claremontmckenna.edu,like,example101525@mymail.pomona.edu
example100042@students.claremontmckenna.edu,like,example101068@scrippscollege.edu
example100042@students.claremontmckenna.edu,friend,example101068@scrippscollege.edu
example100043@hmc.edu,like,example100702@mymail.pomona.edu
example100043@hmc.edu,like,example100587@mymail.pomona.edu
example100043@hmc.edu,friend,example100878@mymail.pomona.edu
example100043@hmc.edu,like,example101082@mymail.pomona.edu
example100043@hmc.edu,like,example100428@hmc.edu
example100043@hmc.edu,friend,example100105@hmc.edu
example100043@hmc.edu,friend,example101002@mymail.pomona.edu
example100043@hmc.edu,friend,example101365@mymail.pomona.edu
example100043@hmc.edu,like,example100522@students.pitzer.edu
example100043@hmc.edu,friend,example101942@scrippscollege.edu
example100045@hmc.edu,friend,example100254@scrippscollege.edu
example100045@hmc.edu,friend,example100813@hmc.edu
example100045@hmc.edu,friend,example101719@mymail.pomona.edu
example100045@hmc.edu,like,example100375@mymail.pomona.edu
example100045@hmc.edu,friend,example100375@mymail.pomona.edu
example100045@hmc.edu,friend,example100723@hmc.edu
example100045@hmc.edu,friend,example101197@students.claremontmckenna.edu
example100045@hmc.edu,like,example101525@mymail.pomona.edu
example100045@hmc.edu,friend,example101525@mymail.pomona.edu
example100045@hmc.edu,friend,example101331@students.pitzer.edu
example100046@hmc.edu,like,example100193@hmc.edu
example100046@hmc.edu,like,example101406@students.pitzer.edu
example100046@hmc.edu,like,example101234@students.claremontmckenna.edu
example101234@students.claremontmckenna.edu,like,example100046@hmc.edu
example100046@hmc.edu,friend,example101051@students.pitzer.edu
example100046@hmc.edu,like,example100399@students.claremontmckenna.edu
example100046@hmc.edu,like,example100780@mymail.pomona.edu
example100046@hmc.edu,friend,example100780@mymail.pomona.edu
example100046@hmc.edu,like,example100657@students.claremontmckenna.edu
example100046@hmc.edu,like,example100591@scrippscollege.edu
example100046@hmc.edu,friend,example100591@scrippscollege.edu
example100046@hmc.edu,like,example100181@students.claremontmckenna.edu
example100046@hmc.edu,friend,example100181@students.claremontmckenna.edu
example100046@hmc.edu,like,example100337@mymail.pomona.edu
example100047@students.claremontmckenna.edu,like,example100460@scrippscollege.edu
example100047@students.claremontmckenna.edu,friend,example100460@scrippscollege.edu
example100047@students.claremontmckenna.edu,like,example100770@scrippscollege.edu
example100047@students.claremontmckenna.edu,like,example100557@mymail.pomona.edu
example100048@mymail.pomona.edu,friend,example101294@mymail.pomona.edu
example100048@mymail.pomona.edu,friend,example101773@students.claremontmckenna.edu
example100048@mymail.pomona.edu,friend,example100451@scrippscollege.edu
example100048@mymail.pomona.edu,like,example100855@mymail.pomona.edu
example100048@mymail.pomona.edu,like,example101269@students.pitzer.edu
example100048@mymail.pomona.edu,friend,example101269@students.pitzer.edu
example100048@mymail.pomona.edu,like,example100232@hmc.edu
example100048@mymail.pomona.edu,friend,example101862@students.pitzer.edu
example100048@mymail.pomona.edu,like,example101805@students.pitzer.edu
example100049@scrippscollege.edu,like,example101053@students.claremontmckenna.edu
example100049@scrippscollege.edu,like,example101438@hmc.edu
example100049@scrippscollege.edu,like,example100547@hmc.edu
example100050@hmc.edu,like,example100205@students.claremontmckenna.edu
example100050@hmc.edu,friend,example100205@students.claremontmckenna.edu
example100051@students.pitzer.edu,like,example101195@scrippscollege.edu
example100051@students.pitzer.edu,like,example101144@students.claremontmckenna.edu
example100051@students.pitzer.edu,friend,example100371@scrippscollege.edu
example100051@students.pitzer.edu,friend,example100612@students.claremontmckenna.edu
example100051@students.pitzer.edu,like,example100901@students.pitzer.edu
example100051@students.pitzer.edu,like,example100687@scrippscollege.edu
example100052@students.pitzer.edu,friend,example100098@students.pitzer.edu
example100052@students.pitzer.edu,like,example100601@hmc.edu
example100052@students.pitzer.edu,friend,example100601@hmc.edu
example100052@students.pitzer.edu,like,example101358@hmc.edu
example101358@hmc.edu,like,example100052@students.pitzer.edu
example100052@students.pitzer.edu,friend,example101358@hmc.edu
example100052@students.pitzer.edu,friend,example100267@mymail.pomona.edu
example100052@students.pitzer.edu,like,example101815@students.pitzer.edu
example100052@students.pitzer.edu,friend,example101411@hmc.edu
example100052@students.pitzer.edu,like,example100775@students.pitzer.edu
example100052@students.pitzer.edu,friend,example100030@hmc.edu
example100052@students.pitzer.edu,like,example101717@scrippscollege.edu
example100052@students.pitzer.edu,friend,example101717@scrippscollege.edu
example100052@students.pitzer.edu,like,example100715@scrippscollege.edu
example100052@students.pitzer.edu,friend,example100715@scrippscollege.edu
example100052@students.pitzer.edu,friend,example100686@students.claremontmckenna.edu
example100052@students.pitzer.edu,like,example101046@students.pitzer.edu
example100052@students.pitzer.edu,like,example100764@mymail.pomona.edu
example100052@students.pitzer.edu,friend,example100764@mymail.pomona.edu
example100052@students.pitzer.edu,like,example101666@students.pitzer.edu
example100052@students.pitzer.edu,friend,example101666@students.pitzer.edu
example100052@students.pitzer.edu,like,example101021@students.pitzer.edu
example100052@students.pitzer.edu,friend,example101021@students.pitzer.edu
example100052@students.pitzer.edu,friend,example101804@students.claremontmckenna.edu
example100052@students.pitzer.edu,like,example101316@hmc.edu
example100053@scrippscollege.edu,like,example101743@hmc.edu
example100053@scrippscollege.edu,friend,example100956@scrippscollege.edu
example100053@scrippscollege.edu,like,example101828@students.claremontmckenna.edu
example100053@scrippscollege.edu,like,example101802@students.pitzer.edu
example100053@scrippscollege.edu,like,example100151@scrippscollege.edu
example100053@scrippscollege.edu,friend,example101344@scrippscollege.edu
example100053@scrippscollege.edu,friend,example100305@mymail.pomona.edu
example100053@scrippscollege.edu,friend,example100793@mymail.pomona.edu
example100053@scrippscollege.edu,like,example100398@scrippscollege.edu
example100053@scrippscollege.edu,friend,example100787@scrippscollege.edu
example100054@hmc.edu,like,example101337@students.claremontmckenna.edu
example101337@students.claremontmckenna.edu,like,example100054@hmc.edu
example100054@hmc.edu,friend,example101478@hmc.edu
example100056@students.pitzer.edu,like,example100274@students.claremontmckenna.edu
example100056@students.pitzer.edu,friend,example100274@students.claremontmckenna.edu
example100056@students.pitzer.edu,friend,example100476@hmc.edu
example100057@hmc.edu,like,example101823@hmc.edu
example100057@hmc.edu,friend,example101823@hmc.edu
example100057@hmc.edu,like,example101561@scrippscollege.edu
example100057@hmc.edu,like,example101226@mymail.pomona.edu
example100057@hmc.edu,like,example100145@scrippscollege.edu
example100057@hmc.edu,friend,example100510@mymail.pomona.edu
example100057@hmc.edu,like,example101077@students.pitzer.edu
example100057@hmc.edu,friend,example100304@students.claremontmckenna.edu
example100057@hmc.edu,friend,example100765@students.claremontmckenna.edu
example100057@hmc.edu,like,example101380@scrippscollege.edu
example100057@hmc.edu,friend,example101380@scrippscollege.edu
example100057@hmc.edu,like,example101119@students.pitzer.edu
example100057@hmc.edu,like,example100714@mymail.pomona.edu
example100057@hmc.edu,like,example100205@students.claremontmckenna.edu
example100057@hmc.edu,like,example101031@students.pitzer.edu
example101031@students.pitzer.edu,like,example100057@hmc.edu
example100057@hmc.edu,friend,example101039@students.pitzer.edu
example100057@hmc.edu,friend,example101990@students.claremontmckenna.edu
example100057@hmc.edu,like,example101898@scrippscollege.edu
example100057@hmc.edu,friend,example101898@scrippscollege.edu
example100057@hmc.edu,like,example101900@mymail.pomona.edu
example101900@mymail.pomona.edu,like,example100057@hmc.edu
example100057@hmc.edu,like,example100661@students.claremontmckenna.edu
example100057@hmc.edu,friend,example100661@students.claremontmckenna.edu
example100057@hmc.edu,like,example101034@hmc.edu
example100057@hmc.edu,friend,example101034@hmc.edu
example100058@mymail.pomona.edu,like,example100246@hmc.edu
example100058@mymail.pomona.edu,like,example101405@students.claremontmckenna.edu
example100058@mymail.pomona.edu,friend,example101405@students.claremontmckenna.edu
example100058@mymail.pomona.edu,friend,example100416@students.pitzer.edu
example100058@mymail.pomona.edu,friend,example101934@scrippscollege.edu
example100058@mymail.pomona.edu,friend,example101979@scrippscollege.edu
example101979@scrippscollege.edu,friend,example100058@mymail.pomona.edu
example100058@mymail.pomona.edu,friend,example101043@mymail.pomona.edu
example100060@students.claremontmckenna.edu,friend,example101725@hmc.edu
example100060@students.claremontmckenna.edu,friend,example100879@mymail.pomona.edu
example100060@students.claremontmckenna.edu,friend,example100178@scrippscollege.edu
example100060@students.claremontmckenna.edu,like,example101786@hmc.edu
example100060@students.claremontmckenna.edu,friend,example101786@hmc.edu
example100061@mymail.pomona.edu,friend,example101211@scrippscollege.edu
example100061@mymail.pomona.edu,like,example100565@students.pitzer.edu
example100565@students.pitzer.edu,like,example100061@mymail.pomona.edu
example100061@mymail.pomona.edu,like,example100810@mymail.pomona.edu
example100061@mymail.pomona.edu,friend,example100811@hmc.edu
example100061@mymail.pomona.edu,like,example101355@mymail.pomona.edu
example101355@mymail.pomona.edu,like,example100061@mymail.pomona.edu
example100061@mymail.pomona.edu,friend,example101355@mymail.pomona.edu
example100061@mymail.pomona.edu,like,example100372@scrippscollege.edu
example100061@mymail.pomona.edu,friend,example100692@hmc.edu
example100061@mymail.pomona.edu,like,example100437@mymail.pomona.edu
example100062@hmc.edu,like,example100775@students.pitzer.edu
example100062@hmc.edu,like,example101901@students.claremontmckenna.edu
